weight,height,class
125.64543337724106,8.93723331783378,apple
144.65689807968292,5.517335042847401,orange
135.0815243353107,4.5368509592493185,apple
131.57361717077288,9.974915498325837,orange
129.19564133142669,5.8157953877736945,apple
140.39563569039285,9.749477488765615,orange
144.85254098332683,9.264254026538124,orange
150.68699110992713,8.479381445536577,orange
138.53559723409478,9.354161526773407,orange
138.52029243173916,6.613743178121928,orange
143.786565020543,8.22525240057962,orange
123.1155557919825,1.7407157799893573,apple
138.94247521898677,10.317607283664675,orange
131.4340673578503,5.201415685618969,apple
136.79553735905057,5.9843264783068015,apple
132.21764839780482,5.36654502573744,orange
132.91629070695018,5.655722383873983,apple
136.42844802326852,4.831665089842449,apple
140.57072531200342,6.438520423997867,orange
128.75551726755546,4.792990763409339,apple
132.91196227845748,10.300338914099243,apple
141.0932248389443,11.152486502286333,orange
140.8507402180709,7.085190227408692,orange
131.59350245920677,2.5553056835837347,apple
142.04731132058384,7.826403409494571,orange
137.46520760673184,9.696226351991784,orange
134.04673168442773,5.723066673274761,apple
131.59457767895586,6.728676436302811,apple
140.94757315568876,8.497066754188149,orange
134.9162781719866,7.261747054187946,orange
134.35814924284998,4.3284966529818,apple
129.65535214178263,3.805173341546146,apple
141.26544801408943,7.0308100362579085,orange
136.5599114792582,6.111644196510351,orange
138.73827958725678,6.650658720315821,orange
138.14121405473648,3.727432080380253,orange
141.48756953660896,8.71838184769796,orange
128.9999417514055,6.082957721864721,apple
125.92477292474942,6.332580217534446,apple
122.93464003184008,5.539803180614446,apple
128.04391774221958,4.769946182748116,apple
133.44409607694755,6.080163712613907,apple
140.69111848941182,10.127575861590438,orange
126.94951214201353,4.562970088810996,apple
135.39401904725534,6.129138379270716,apple
148.09868322224406,10.00229027606515,orange
126.58401349713431,5.7652750911382915,apple
135.45159124930998,9.370566743252136,orange
143.78659237566563,8.329061402216201,orange
126.6603004516037,6.836376272899398,apple
144.39905353006716,7.456526043346483,orange
142.45379921284106,6.937425025226386,orange
132.92441343663472,4.133905678711403,apple
134.0124511700692,5.81690370782104,apple
130.69035473225773,4.536323580717671,apple
139.23607776024588,9.519805369620142,orange
138.4223558665723,4.167368336210355,apple
149.25516268254066,5.1327256193378314,orange
126.01720038347153,9.09186380559803,apple
131.8052119432456,7.5897033689123115,apple
