weight,height,class
124.19391116965474,7.67841903876216,orange
146.20919743957722,6.581334310198515,apple
136.77536578041423,5.1639148338567535,orange
128.76482289436385,9.128523141900478,apple
128.9275217752356,5.894740221584968,orange
140.52751425385713,8.99970142215178,apple
146.47005464443578,8.722430872307498,apple
154.24932147990287,8.27393225459233,apple
138.04746297879305,8.77380658672766,apple
138.0270565756522,7.207853244641102,apple
145.048753360724,8.128715657474068,apple
120.82074105597667,3.5661233028510613,orange
138.58996695864906,9.324347019236956,apple
131.91208981046705,5.543666106067982,orange
139.06071647873407,5.991043701889601,orange
129.6235311970731,6.49516858613568,apple
133.8883876092669,5.803269933642277,orange
138.5712640310247,5.332380051338543,orange
140.76096708267121,7.10772595657021,apple
128.34068969007393,5.310280436233908,orange
133.88261637127664,8.457336522342423,orange
141.4576331185924,9.801420858449333,apple
141.1343202907612,7.477251558519253,apple
132.124669945609,4.031603247762134,orange
142.72974842744514,7.900801948282612,apple
136.62027680897577,8.969272201138162,apple
135.39564224590364,5.8417523847284345,orange
132.12610357194114,6.416386535030178,orange
141.2634308742517,8.28403814525037,apple
133.22170422931546,7.578141173821684,apple
135.81086565713332,5.044855230275314,orange
129.5404695223768,4.74581333802637,orange
141.6872640187859,7.446177163575948,apple
135.4132153056776,6.920939540863058,apple
138.31770611634238,7.228947840180469,apple
137.52161873964863,5.558532617360145,apple
141.98342604881196,8.410503912970263,apple
128.666589001874,6.047404412494126,orange
124.56636389966589,6.190045838591112,orange
120.57952004245342,5.73703038892254,orange
127.39189032295944,5.2971121044274945,orange
134.59212810259672,6.045807835779375,orange
140.92149131921573,9.215757635194537,apple
125.93268285601803,5.17884005074914,orange
137.19202539634048,6.0737933595832665,orange
150.7982442963254,9.14416587203723,apple
125.44535132951242,5.865871480650452,orange
133.93545499907998,8.783180996144077,apple
145.04878983422086,8.188035086980687,apple
125.54706726880494,6.477929298799656,orange
145.8654047067562,7.689443453340847,apple
143.27173228378808,7.392814300129363,apple
133.89921791551296,4.933660387835087,orange
135.3499348934256,5.895373547326308,orange
130.92047297634363,5.163613474695811,orange
138.98143701366118,8.86846021121151,apple
141.2298078220964,4.952781906405917,orange
152.3402169100542,6.361557496764474,apple
124.68960051129537,7.766779317484588,orange
132.4069492576608,6.9084019250927495,orange
